seed,qfc_balanced_accuracy,classical_balanced_accuracy,model_name,split,delta
67,0.774375,0.81,qfc_no_entanglement,test,-0.03562500000000002
79,0.6956845238095238,0.8058035714285714,qfc_no_entanglement,test,-0.11011904761904756
83,0.7621561544873576,0.7976752801704177,qfc_no_entanglement,test,-0.03551912568306004
97,0.6917212001481665,0.8137115693295469,qfc_no_entanglement,test,-0.1219903691813804
109,0.8038172227597615,0.8119479384500141,qfc_no_entanglement,test,-0.008130715690252588
11,0.7534362934362935,0.8525868725868726,qfc_random_01,test,-0.09915057915057912
23,0.7505791505791506,0.828880308880309,qfc_random_01,test,-0.07830115830115836
37,0.8053426825106265,0.795786665011945,qfc_random_01,test,0.009556017498681513
41,0.7753117668848006,0.7809914804296827,qfc_random_01,test,-0.005679713544882059
53,0.7339636633296256,0.7976455320726733,qfc_random_01,test,-0.06368186874304771
67,0.755625,0.81,qfc_random_01,test,-0.05437500000000006
79,0.7585565476190477,0.8058035714285714,qfc_random_01,test,-0.047247023809523725
83,0.7403908493099935,0.7976752801704177,qfc_random_01,test,-0.05728443086042412
97,0.7026484751203852,0.8137115693295469,qfc_random_01,test,-0.11106309420916172
109,0.7199975030431661,0.8119479384500141,qfc_random_01,test,-0.091950435406848
11,0.4818532818532818,0.8525868725868726,qfc_random_01_random_label,test,-0.3707335907335908
23,0.5019305019305019,0.828880308880309,qfc_random_01_random_label,test,-0.326949806949807
37,0.45155285284353575,0.795786665011945,qfc_random_01_random_label,test,-0.3442338121684092
41,0.49357945425361155,0.7809914804296827,qfc_random_01_random_label,test,-0.28741202617607114
53,0.496477567667779,0.7976455320726733,qfc_random_01_random_label,test,-0.3011679644048943
67,0.5075,0.81,qfc_random_01_random_label,test,-0.3025000000000001
79,0.5,0.8058035714285714,qfc_random_01_random_label,test,-0.3058035714285714
83,0.49578586644438266,0.7976752801704177,qfc_random_01_random_label,test,-0.301889413726035
97,0.5111433510309915,0.8137115693295469,qfc_random_01_random_label,test,-0.3025682182985554
109,0.5074440525609414,0.8119479384500141,qfc_random_01_random_label,test,-0.30450388588907273
11,0.7606177606177607,0.8525868725868726,qfc_ring,test,-0.09196911196911195
23,0.7749034749034749,0.828880308880309,qfc_ring,test,-0.05397683397683406
37,0.8047687009400888,0.795786665011945,qfc_ring,test,0.008982035928143839
41,0.7008272626250154,0.7809914804296827,qfc_ring,test,-0.08016421780466731
53,0.8010752688172043,0.7976455320726733,qfc_ring,test,0.0034297367445309535
67,0.691875,0.81,qfc_ring,test,-0.11812500000000004
79,0.7421875,0.8058035714285714,qfc_ring,test,-0.0636160714285714
83,0.7558581087339076,0.7976752801704177,qfc_ring,test,-0.04181717143651009
97,0.6442770712433634,0.8137115693295469,qfc_ring,test,-0.1694344980861835
109,0.7998376978057993,0.8119479384500141,qfc_ring,test,-0.012110240644214842
11,0.6047042844795654,0.6063094209161625,qfc_all_to_all,ood_composition,-0.0016051364365970988
23,0.6408720040795512,0.6194543600203977,qfc_all_to_all,ood_composition,0.021417644059153584
37,0.6204465334900118,0.6032119075597336,qfc_all_to_all,ood_composition,0.017234625930278136
41,0.5719329214474845,0.5522002269575085,qfc_all_to_all,ood_composition,0.019732694489976055
53,0.69625,0.65875,qfc_all_to_all,ood_composition,0.03750000000000009
67,0.5909090909090909,0.6043771043771043,qfc_all_to_all,ood_composition,-0.013468013468013407
79,0.678129638792677,0.6316180108857001,qfc_all_to_all,ood_composition,0.04651162790697683
83,0.6694805194805195,0.5993506493506493,qfc_all_to_all,ood_composition,0.07012987012987015
97,0.6072874493927125,0.674342105263158,qfc_all_to_all,ood_composition,-0.06705465587044546
109,0.76625,0.5925,qfc_all_to_all,ood_composition,0.17374999999999996
11,0.6547721940980368,0.6063094209161625,qfc_grammar,ood_composition,0.04846277318187431
23,0.5127485976542581,0.6194543600203977,qfc_grammar,ood_composition,-0.1067057623661396
37,0.6280846063454759,0.6032119075597336,qfc_grammar,ood_composition,0.024872698785742275
41,0.573509015256588,0.5522002269575085,qfc_grammar,ood_composition,0.021308788299079562
53,0.5800000000000001,0.65875,qfc_grammar,ood_composition,-0.07874999999999988
67,0.5420875420875421,0.6043771043771043,qfc_grammar,ood_composition,-0.062289562289562284
79,0.622093023255814,0.6316180108857001,qfc_grammar,ood_composition,-0.009524987629886184
83,0.65,0.5993506493506493,qfc_grammar,ood_composition,0.05064935064935072
97,0.5126518218623481,0.674342105263158,qfc_grammar,ood_composition,-0.16169028340080982
109,0.63625,0.5925,qfc_grammar,ood_composition,0.043749999999999956
11,0.5714903074453637,0.6063094209161625,qfc_linear_chain,ood_composition,-0.0348191134707988
23,0.5850331463539011,0.6194543600203977,qfc_linear_chain,ood_composition,-0.03442121366649653
37,0.6766549157853505,0.6032119075597336,qfc_linear_chain,ood_composition,0.07344300822561689
41,0.5719329214474845,0.5522002269575085,qfc_linear_chain,ood_composition,0.019732694489976055
53,0.54125,0.65875,qfc_linear_chain,ood_composition,-0.11749999999999994
67,0.5718294051627385,0.6043771043771043,qfc_linear_chain,ood_composition,-0.032547699214365844
79,0.5717466600692727,0.6316180108857001,qfc_linear_chain,ood_composition,-0.05987135081642747
83,0.6545454545454545,0.5993506493506493,qfc_linear_chain,ood_composition,0.05519480519480524
97,0.6115890688259109,0.674342105263158,qfc_linear_chain,ood_composition,-0.06275303643724706
109,0.625,0.5925,qfc_linear_chain,ood_composition,0.03249999999999997
11,0.6225459933325102,0.6063094209161625,qfc_no_entanglement,ood_composition,0.016236572416347683
23,0.606578276389597,0.6194543600203977,qfc_no_entanglement,ood_composition,-0.012876083630800617
37,0.5125342734038386,0.6032119075597336,qfc_no_entanglement,ood_composition,-0.09067763415589503
41,0.5848568906821334,0.5522002269575085,qfc_no_entanglement,ood_composition,0.032656663724624946
53,0.4775,0.65875,qfc_no_entanglement,ood_composition,-0.18124999999999997
67,0.5982042648709316,0.6043771043771043,qfc_no_entanglement,ood_composition,-0.006172839506172756
79,0.6157842652152399,0.6316180108857001,qfc_no_entanglement,ood_composition,-0.015833745670460253
83,0.6000000000000001,0.5993506493506493,qfc_no_entanglement,ood_composition,0.0006493506493507883
97,0.653087044534413,0.674342105263158,qfc_no_entanglement,ood_composition,-0.021255060728744946
109,0.6275,0.5925,qfc_no_entanglement,ood_composition,0.03499999999999992
11,0.6565008025682183,0.6063094209161625,qfc_random_01,ood_composition,0.05019138165205583
23,0.5613207547169812,0.6194543600203977,qfc_random_01,ood_composition,-0.05813360530341649
37,0.6658832745789267,0.6032119075597336,qfc_random_01,ood_composition,0.06267136701919307
41,0.6351658050687177,0.5522002269575085,qfc_random_01,ood_composition,0.08296557811120919
53,0.5725,0.65875,qfc_random_01,ood_composition,-0.08624999999999994
67,0.6784511784511784,0.6043771043771043,qfc_random_01,ood_composition,0.07407407407407407
79,0.6641514101929737,0.6316180108857001,qfc_random_01,ood_composition,0.032533399307273614
83,0.6,0.5993506493506493,qfc_random_01,ood_composition,0.0006493506493506773
97,0.624746963562753,0.674342105263158,qfc_random_01,ood_composition,-0.04959514170040491
109,0.61375,0.5925,qfc_random_01,ood_composition,0.02124999999999999
11,0.5664896900851957,0.6063094209161625,qfc_random_01_random_label,ood_composition,-0.03981973083096679
23,0.49324324324324326,0.6194543600203977,qfc_random_01_random_label,ood_composition,-0.1262111167771544
37,0.4951037994516255,0.6032119075597336,qfc_random_01_random_label,ood_composition,-0.10810810810810811
41,0.4822847055856765,0.5522002269575085,qfc_random_01_random_label,ood_composition,-0.06991552137183199
53,0.395,0.65875,qfc_random_01_random_label,ood_composition,-0.26374999999999993
67,0.49102132435465773,0.6043771043771043,qfc_random_01_random_label,ood_composition,-0.11335578002244662
79,0.5,0.6316180108857001,qfc_random_01_random_label,ood_composition,-0.13161801088570013
83,0.47597402597402594,0.5993506493506493,qfc_random_01_random_label,ood_composition,-0.12337662337662336
97,0.4400303643724696,0.674342105263158,qfc_random_01_random_label,ood_composition,-0.23431174089068835
109,0.465,0.5925,qfc_random_01_random_label,ood_composition,-0.1275
11,0.6486603284356094,0.6063094209161625,qfc_ring,ood_composition,0.04235090751944692
23,0.5586435492095869,0.6194543600203977,qfc_ring,ood_composition,-0.060810810810810745
37,0.672933803368586,0.6032119075597336,qfc_ring,ood_composition,0.06972189580885235
41,0.5151305005673938,0.5522002269575085,qfc_ring,ood_composition,-0.03706972639011463
53,0.58875,0.65875,qfc_ring,ood_composition,-0.06999999999999995
67,0.558361391694725,0.6043771043771043,qfc_ring,ood_composition,-0.04601571268237936
79,0.5818901533894112,0.6316180108857001,qfc_ring,ood_composition,-0.04972785749628894
83,0.6512987012987013,0.5993506493506493,qfc_ring,ood_composition,0.051948051948051965
97,0.4881072874493927,0.674342105263158,qfc_ring,ood_composition,-0.18623481781376527
109,0.655,0.5925,qfc_ring,ood_composition,0.0625
11,0.8033906882591093,0.8484311740890689,qfc_all_to_all,ood_depth,-0.045040485829959565
23,0.8153903997994736,0.8365709988720391,qfc_all_to_all,ood_depth,-0.02118059907256553
37,0.8065810593900482,0.8500432152117545,qfc_all_to_all,ood_depth,-0.043462155821706316
41,0.7566366218051611,0.8506605753796765,qfc_all_to_all,ood_depth,-0.09402395357451543
53,0.7555998008959681,0.8442010950721752,qfc_all_to_all,ood_depth,-0.0886012941762071
67,0.8013334979627115,0.8668971477960241,qfc_all_to_all,ood_depth,-0.06556364983331264
79,0.7703003337041157,0.878383388950686,qfc_all_to_all,ood_depth,-0.10808305524657036
83,0.8243443839683324,0.8509401286491836,qfc_all_to_all,ood_depth,-0.02659574468085113
97,0.8270750988142292,0.883399209486166,qfc_all_to_all,ood_depth,-0.05632411067193677
109,0.8266369047619048,0.84375,qfc_all_to_all,ood_depth,-0.017113095238095233
11,0.7107793522267206,0.8484311740890689,qfc_grammar,ood_depth,-0.13765182186234826
23,0.8005389146509587,0.8365709988720391,qfc_grammar,ood_depth,-0.036032084221080396
37,0.8169527102111371,0.8500432152117545,qfc_grammar,ood_depth,-0.03309050500061739
41,0.828806025435239,0.8506605753796765,qfc_grammar,ood_depth,-0.021854549944437585
53,0.7485067197610751,0.8442010950721752,qfc_grammar,ood_depth,-0.09569437531110014
67,0.7900975429065317,0.8668971477960241,qfc_grammar,ood_depth,-0.07679960488949245
79,0.7200593251761216,0.878383388950686,qfc_grammar,ood_depth,-0.15832406377456443
83,0.7885947550717467,0.8509401286491836,qfc_grammar,ood_depth,-0.06234537357743686
97,0.7097332015810276,0.883399209486166,qfc_grammar,ood_depth,-0.17366600790513842
109,0.7946428571428572,0.84375,qfc_grammar,ood_depth,-0.049107142857142794
11,0.7064777327935223,0.8484311740890689,qfc_linear_chain,ood_depth,-0.14195344129554655
23,0.8046747712745959,0.8365709988720391,qfc_linear_chain,ood_depth,-0.03189622759744326
37,0.8339301148289913,0.8500432152117545,qfc_linear_chain,ood_depth,-0.016113100382763257
41,0.8119520928509693,0.8506605753796765,qfc_linear_chain,ood_depth,-0.03870848252870729
53,0.7809855649576904,0.8442010950721752,qfc_linear_chain,ood_depth,-0.06321553011448477
67,0.7568835658723299,0.8668971477960241,qfc_linear_chain,ood_depth,-0.11001358192369426
79,0.7710418984056359,0.878383388950686,qfc_linear_chain,ood_depth,-0.10734149054505016
83,0.8359722909450766,0.8509401286491836,qfc_linear_chain,ood_depth,-0.014967837704106923
97,0.7164031620553359,0.883399209486166,qfc_linear_chain,ood_depth,-0.16699604743083007
109,0.8400297619047619,0.84375,qfc_linear_chain,ood_depth,-0.0037202380952381375
11,0.7699898785425101,0.8484311740890689,qfc_no_entanglement,ood_depth,-0.07844129554655876
23,0.7678280486276476,0.8365709988720391,qfc_no_entanglement,ood_depth,-0.06874295024439148
37,0.7888628225706877,0.8500432152117545,qfc_no_entanglement,ood_depth,-0.06118039264106678
41,0.7675021607605876,0.8506605753796765,qfc_no_entanglement,ood_depth,-0.0831584146190889
53,0.6597809855649577,0.8442010950721752,qfc_no_entanglement,ood_depth,-0.18442010950721754
67,0.8114582047166317,0.8668971477960241,qfc_no_entanglement,ood_depth,-0.055438943079392455
79,0.7879124953652206,0.878383388950686,qfc_no_entanglement,ood_depth,-0.09047089358546545
83,0.847105393369619,0.8509401286491836,qfc_no_entanglement,ood_depth,-0.0038347352795645717
97,0.7663043478260869,0.883399209486166,qfc_no_entanglement,ood_depth,-0.1170948616600791
109,0.7269345238095237,0.84375,qfc_no_entanglement,ood_depth,-0.11681547619047628
11,0.791497975708502,0.8484311740890689,qfc_random_01,ood_depth,-0.056933198380566874
23,0.7834941722020303,0.8365709988720391,qfc_random_01,ood_depth,-0.05307682667000879
37,0.8170761822447216,0.8500432152117545,qfc_random_01,ood_depth,-0.03296703296703296
41,0.7787381158167674,0.8506605753796765,qfc_random_01,ood_depth,-0.0719224595629091
53,0.7392981582877054,0.8442010950721752,qfc_random_01,ood_depth,-0.10490293678446982
67,0.8115816767502161,0.8668971477960241,qfc_random_01,ood_depth,-0.05531547104580803
79,0.8223952539859103,0.878383388950686,qfc_random_01,ood_depth,-0.055988134964775726
83,0.7711528946066304,0.8509401286491836,qfc_random_01,ood_depth,-0.07978723404255317
97,0.7554347826086957,0.883399209486166,qfc_random_01,ood_depth,-0.12796442687747034
109,0.8370535714285714,0.84375,qfc_random_01,ood_depth,-0.006696428571428603
11,0.44610323886639675,0.8484311740890689,qfc_random_01_random_label,ood_depth,-0.40232793522267213
23,0.490913648326858,0.8365709988720391,qfc_random_01_random_label,ood_depth,-0.3456573505451811
37,0.49407334238794914,0.8500432152117545,qfc_random_01_random_label,ood_depth,-0.3559698728238054
41,0.5042597851586615,0.8506605753796765,qfc_random_01_random_label,ood_depth,-0.346400790221015
53,0.4688899950223992,0.8442010950721752,qfc_random_01_random_label,ood_depth,-0.375311100049776
67,0.48314606741573035,0.8668971477960241,qfc_random_01_random_label,ood_depth,-0.38375108038029376
79,0.5,0.878383388950686,qfc_random_01_random_label,ood_depth,-0.378383388950686
83,0.4727857496288966,0.8509401286491836,qfc_random_01_random_label,ood_depth,-0.378154379020287
97,0.5212450592885376,0.883399209486166,qfc_random_01_random_label,ood_depth,-0.3621541501976284
109,0.49255952380952384,0.84375,qfc_random_01_random_label,ood_depth,-0.35119047619047616
11,0.7634109311740891,0.8484311740890689,qfc_ring,ood_depth,-0.08502024291497978
23,0.8209048752976563,0.8365709988720391,qfc_ring,ood_depth,-0.015666123574382795
37,0.7893567107050253,0.8500432152117545,qfc_ring,ood_depth,-0.06068650450672919
41,0.7681195209285097,0.8506605753796765,qfc_ring,ood_depth,-0.08254105445116688
53,0.7984071677451469,0.8442010950721752,qfc_ring,ood_depth,-0.04579392732702836
67,0.7461414989504878,0.8668971477960241,qfc_ring,ood_depth,-0.12075564884553636
79,0.7875417130144605,0.878383388950686,qfc_ring,ood_depth,-0.0908416759362255
83,0.8175408213755566,0.8509401286491836,qfc_ring,ood_depth,-0.033399307273626944
97,0.6870059288537549,0.883399209486166,qfc_ring,ood_depth,-0.19639328063241113
109,0.8668154761904763,0.84375,qfc_ring,ood_depth,0.023065476190476275
