seed,topology,stratum,sample_count,class_0,class_1,qfc_balanced_accuracy,learned_balanced_accuracy,qfc_minus_learned,evaluation_index_sha256
83,qfc_all_to_all,modifier_count_ge_3,23,13,10,0.5576923076923077,0.6192307692307693,-0.06153846153846154,d88e2d7065695b3079a9b8d2f46b3f0cee1611a6200718f0fe961e979d9e46c3
83,qfc_random_01,modifier_count_lt_3,105,65,40,0.5596153846153846,0.575,-0.01538461538461533,d88e2d7065695b3079a9b8d2f46b3f0cee1611a6200718f0fe961e979d9e46c3
83,qfc_random_01,modifier_count_ge_3,23,13,10,0.6192307692307693,0.6192307692307693,0.0,d88e2d7065695b3079a9b8d2f46b3f0cee1611a6200718f0fe961e979d9e46c3
97,qfc_all_to_all,modifier_count_lt_3,95,52,43,0.5230322003577818,0.6686046511627908,-0.14557245080500902,24ecb8a8acb2fb50dbbbf2df116ad3a8f8f1f8669800b11cb20eca36d4ea74f4
97,qfc_all_to_all,modifier_count_ge_3,33,22,11,0.34090909090909094,0.5454545454545454,-0.20454545454545447,24ecb8a8acb2fb50dbbbf2df116ad3a8f8f1f8669800b11cb20eca36d4ea74f4
97,qfc_random_01,modifier_count_lt_3,95,52,43,0.6200805008944543,0.6686046511627908,-0.04852415026833645,24ecb8a8acb2fb50dbbbf2df116ad3a8f8f1f8669800b11cb20eca36d4ea74f4
97,qfc_random_01,modifier_count_ge_3,33,22,11,0.7045454545454546,0.5454545454545454,0.15909090909090917,24ecb8a8acb2fb50dbbbf2df116ad3a8f8f1f8669800b11cb20eca36d4ea74f4
109,qfc_all_to_all,modifier_count_lt_3,102,53,49,0.7391220639199076,0.5671929149018098,0.17192914901809786,f11fbd17499ec7d5f6b1c294ba52cdbb4494f88050091f2fcfcb1a9f7eeef554
109,qfc_all_to_all,modifier_count_ge_3,26,18,8,0.7361111111111112,0.6805555555555556,0.05555555555555558,f11fbd17499ec7d5f6b1c294ba52cdbb4494f88050091f2fcfcb1a9f7eeef554
109,qfc_random_01,modifier_count_lt_3,102,53,49,0.5616095494801694,0.5671929149018098,-0.005583365421640396,f11fbd17499ec7d5f6b1c294ba52cdbb4494f88050091f2fcfcb1a9f7eeef554
109,qfc_random_01,modifier_count_ge_3,26,18,8,0.4513888888888889,0.6805555555555556,-0.22916666666666669,f11fbd17499ec7d5f6b1c294ba52cdbb4494f88050091f2fcfcb1a9f7eeef554
