seed,qfc_balanced_accuracy,classical_balanced_accuracy,kernel_source,kernel_name,untrained_balanced_accuracy,delta_qfc_minus_learned_classical,delta_trained_minus_untrained,model_name,split,train_sample_cap,eval_sample_cap
83,0.8157572791778811,0.8508686077807683,mlp_logits,rbf_gamma_x1,0.5,-0.03511132860288724,0.3157572791778811,qfc_all_to_all,ood_depth,128,128
97,0.7266178266178266,0.7487179487179487,mlp_hidden,rbf_gamma_x2,0.5152625152625152,-0.022100122100122133,0.21135531135531138,qfc_all_to_all,ood_depth,128,128
109,0.7803921568627451,0.7740196078431372,mlp_hidden,linear,0.5593137254901961,0.0063725490196079315,0.221078431372549,qfc_all_to_all,ood_depth,128,128
11,0.7123655913978495,0.8511730205278593,mlp_hidden,linear,0.5515640273704789,-0.13880742913000976,0.16080156402737056,qfc_all_to_all,test,128,128
23,0.7891006842619745,0.7436461388074291,mlp_hidden,rbf_gamma_x0.5,0.5909090909090908,0.045454545454545414,0.19819159335288372,qfc_all_to_all,test,128,128
37,0.7871530336526652,0.7920658314910342,mlp_hidden,rbf_gamma_x0.5,0.5671825104396955,-0.004912797838368954,0.21997052321296973,qfc_all_to_all,test,128,128
41,0.6807081807081807,0.7975579975579976,mlp_logits,rbf_gamma_x0.5,0.5095238095238095,-0.11684981684981688,0.17118437118437124,qfc_all_to_all,test,128,128
53,0.7724828934506354,0.8369990224828934,mlp_hidden,rbf_gamma_x1,0.5109970674486803,-0.06451612903225801,0.261485826001955,qfc_all_to_all,test,128,128
67,0.7011366444279714,0.7837904620706696,mlp_hidden,rbf_gamma_x2,0.49752903385223624,-0.08265381764269819,0.20360761057573518,qfc_all_to_all,test,128,128
79,0.6799019607843138,0.705392156862745,mlp_hidden,linear,0.5759803921568627,-0.025490196078431282,0.10392156862745106,qfc_all_to_all,test,128,128
83,0.7576312576312576,0.7648351648351648,mlp_logits,rbf_gamma_x1,0.5,-0.007203907203907178,0.2576312576312576,qfc_all_to_all,test,128,128
97,0.7114774114774115,0.7590964590964591,mlp_hidden,rbf_gamma_x2,0.5445665445665445,-0.04761904761904756,0.16691086691086698,qfc_all_to_all,test,128,128
109,0.7575982209043737,0.8401284902396837,mlp_hidden,linear,0.5693106004447739,-0.08253026933531005,0.1882876204595998,qfc_all_to_all,test,128,128
11,0.6797313797313798,0.6494505494505495,mlp_hidden,linear,0.46813186813186813,0.030280830280830284,0.21159951159951162,qfc_random_01,ood_composition,128,128
23,0.6062893081761006,0.6368553459119497,mlp_hidden,rbf_gamma_x0.5,0.5142138364779874,-0.030566037735849094,0.09207547169811325,qfc_random_01,ood_composition,128,128
37,0.6148282097649186,0.5754327047274606,mlp_hidden,rbf_gamma_x0.5,0.5,0.039395505037458034,0.11482820976491859,qfc_random_01,ood_composition,128,128
41,0.6403486924034869,0.6087173100871731,mlp_logits,rbf_gamma_x0.5,0.5468244084682441,0.031631382316313794,0.09352428393524281,qfc_random_01,ood_composition,128,128
53,0.546454163577959,0.6394860390412651,mlp_hidden,rbf_gamma_x1,0.45898196194712126,-0.09303187546330616,0.08747220163083769,qfc_random_01,ood_composition,128,128
67,0.6603448275862069,0.6098522167487685,mlp_hidden,rbf_gamma_x2,0.4881773399014778,0.05049261083743839,0.17216748768472911,qfc_random_01,ood_composition,128,128
79,0.6539026180572547,0.6778810863714215,mlp_hidden,linear,0.5,-0.023978468314166834,0.1539026180572547,qfc_random_01,ood_composition,128,128
83,0.572051282051282,0.5848717948717949,mlp_logits,rbf_gamma_x1,0.45999999999999996,-0.012820512820512886,0.11205128205128201,qfc_random_01,ood_composition,128,128
97,0.6321321321321322,0.6456456456456456,mlp_hidden,rbf_gamma_x2,0.5,-0.013513513513513487,0.13213213213213215,qfc_random_01,ood_composition,128,128
109,0.5340993328391401,0.5835186557944156,mlp_hidden,linear,0.5499135161848283,-0.04941932295527551,-0.015814183345688182,qfc_random_01,ood_composition,128,128
11,0.7910410410410411,0.8213213213213213,mlp_hidden,linear,0.5262762762762763,-0.03028028028028018,0.26476476476476485,qfc_random_01,ood_depth,128,128
23,0.7817460317460317,0.8382936507936507,mlp_hidden,rbf_gamma_x0.5,0.48214285714285715,-0.05654761904761896,0.2996031746031746,qfc_random_01,ood_depth,128,128
37,0.8206349206349206,0.7978021978021979,mlp_hidden,rbf_gamma_x0.5,0.5,0.02283272283272275,0.3206349206349206,qfc_random_01,ood_depth,128,128
41,0.728083028083028,0.7905982905982906,mlp_logits,rbf_gamma_x0.5,0.4534798534798535,-0.06251526251526252,0.27460317460317457,qfc_random_01,ood_depth,128,128
53,0.7049261083743843,0.8251231527093597,mlp_hidden,rbf_gamma_x1,0.5046798029556651,-0.12019704433497536,0.20024630541871924,qfc_random_01,ood_depth,128,128
67,0.8131868131868132,0.8211233211233211,mlp_hidden,rbf_gamma_x2,0.5896214896214896,-0.007936507936507908,0.22356532356532355,qfc_random_01,ood_depth,128,128
79,0.7209188660801564,0.8198924731182795,mlp_hidden,linear,0.5,-0.09897360703812308,0.22091886608015643,qfc_random_01,ood_depth,128,128
83,0.7359921702960607,0.8508686077807683,mlp_logits,rbf_gamma_x1,0.5174944947394177,-0.11487643748470766,0.218497675556643,qfc_random_01,ood_depth,128,128
97,0.7268620268620269,0.7487179487179487,mlp_hidden,rbf_gamma_x2,0.5,-0.02185592185592178,0.22686202686202694,qfc_random_01,ood_depth,128,128
109,0.8127450980392157,0.7740196078431372,mlp_hidden,linear,0.4901960784313726,0.038725490196078516,0.3225490196078431,qfc_random_01,ood_depth,128,128
11,0.7108993157380255,0.8511730205278593,mlp_hidden,linear,0.5212609970674487,-0.1402737047898338,0.1896383186705768,qfc_random_01,test,128,128
23,0.7754154447702835,0.7436461388074291,mlp_hidden,rbf_gamma_x0.5,0.46383186705767354,0.03176930596285432,0.3115835777126099,qfc_random_01,test,128,128
37,0.8064357651682633,0.7920658314910342,mlp_hidden,rbf_gamma_x0.5,0.5,0.014369933677229163,0.3064357651682633,qfc_random_01,test,128,128
41,0.7278388278388279,0.7975579975579976,mlp_logits,rbf_gamma_x0.5,0.5474969474969476,-0.0697191697191697,0.18034188034188037,qfc_random_01,test,128,128
53,0.686217008797654,0.8369990224828934,mlp_hidden,rbf_gamma_x1,0.5581622678396873,-0.15078201368523936,0.12805474095796676,qfc_random_01,test,128,128
67,0.7064492216456635,0.7837904620706696,mlp_hidden,rbf_gamma_x2,0.5662218927600692,-0.07734124042500612,0.1402273288855943,qfc_random_01,test,128,128
79,0.7563725490196078,0.705392156862745,mlp_hidden,linear,0.5,0.050980392156862786,0.2563725490196078,qfc_random_01,test,128,128
83,0.6879120879120879,0.7648351648351648,mlp_logits,rbf_gamma_x1,0.5477411477411478,-0.07692307692307687,0.14017094017094012,qfc_random_01,test,128,128
97,0.7035409035409035,0.7590964590964591,mlp_hidden,rbf_gamma_x2,0.5,-0.05555555555555558,0.20354090354090348,qfc_random_01,test,128,128
109,0.6591302199159872,0.8401284902396837,mlp_hidden,linear,0.5623918952310354,-0.18099827032369653,0.0967383246849518,qfc_random_01,test,128,128
11,0.5,0.6494505494505495,mlp_hidden,linear,0.44578754578754576,-0.14945054945054947,0.05421245421245424,qfc_random_01_random_label,ood_composition,128,128
23,0.5108176100628931,0.6368553459119497,mlp_hidden,rbf_gamma_x0.5,0.5241509433962264,-0.12603773584905664,-0.013333333333333308,qfc_random_01_random_label,ood_composition,128,128
37,0.5315164040299665,0.5754327047274606,mlp_hidden,rbf_gamma_x0.5,0.41152157065357786,-0.04391630069749408,0.11999483337638861,qfc_random_01_random_label,ood_composition,128,128
41,0.5945205479452055,0.6087173100871731,mlp_logits,rbf_gamma_x0.5,0.4920298879202989,-0.014196762141967634,0.10249066002490659,qfc_random_01_random_label,ood_composition,128,128
53,0.49728193723745984,0.6394860390412651,mlp_hidden,rbf_gamma_x1,0.4621942179392142,-0.14220410180380527,0.03508771929824561,qfc_random_01_random_label,ood_composition,128,128
67,0.4623152709359606,0.6098522167487685,mlp_hidden,rbf_gamma_x2,0.5960591133004927,-0.14753694581280796,-0.13374384236453207,qfc_random_01_random_label,ood_composition,128,128
79,0.5,0.6778810863714215,mlp_hidden,linear,0.5675311964766332,-0.17788108637142153,-0.06753119647663319,qfc_random_01_random_label,ood_composition,128,128
83,0.5,0.5848717948717949,mlp_logits,rbf_gamma_x1,0.4461538461538461,-0.08487179487179486,0.05384615384615388,qfc_random_01_random_label,ood_composition,128,128
97,0.5017517517517518,0.6456456456456456,mlp_hidden,rbf_gamma_x2,0.45095095095095095,-0.14389389389389384,0.05080080080080085,qfc_random_01_random_label,ood_composition,128,128
109,0.4077094143810229,0.5835186557944156,mlp_hidden,linear,0.5,-0.17580924141339271,-0.09229058561897707,qfc_random_01_random_label,ood_composition,128,128
11,0.5,0.8213213213213213,mlp_hidden,linear,0.4942442442442442,-0.3213213213213213,0.00575575575575582,qfc_random_01_random_label,ood_depth,128,128
23,0.5496031746031746,0.8382936507936507,mlp_hidden,rbf_gamma_x0.5,0.5029761904761905,-0.28869047619047605,0.04662698412698418,qfc_random_01_random_label,ood_depth,128,128
37,0.5609279609279609,0.7978021978021979,mlp_hidden,rbf_gamma_x0.5,0.6028083028083029,-0.23687423687423692,-0.041880341880341954,qfc_random_01_random_label,ood_depth,128,128
41,0.48376068376068376,0.7905982905982906,mlp_logits,rbf_gamma_x0.5,0.5092796092796092,-0.3068376068376068,-0.025518925518925484,qfc_random_01_random_label,ood_depth,128,128
53,0.4625615763546798,0.8251231527093597,mlp_hidden,rbf_gamma_x1,0.5889162561576355,-0.36256157635467984,-0.12635467980295573,qfc_random_01_random_label,ood_depth,128,128
67,0.5874236874236874,0.8211233211233211,mlp_hidden,rbf_gamma_x2,0.5465201465201466,-0.23369963369963365,0.04090354090354087,qfc_random_01_random_label,ood_depth,128,128
79,0.5,0.8198924731182795,mlp_hidden,linear,0.5894428152492669,-0.3198924731182795,-0.0894428152492669,qfc_random_01_random_label,ood_depth,128,128
83,0.5,0.8508686077807683,mlp_logits,rbf_gamma_x1,0.4935160264252508,-0.35086860778076834,0.006483973574749224,qfc_random_01_random_label,ood_depth,128,128
97,0.5924297924297924,0.7487179487179487,mlp_hidden,rbf_gamma_x2,0.5695970695970696,-0.1562881562881563,0.022832722832722863,qfc_random_01_random_label,ood_depth,128,128
109,0.5137254901960784,0.7740196078431372,mlp_hidden,linear,0.5,-0.2602941176470588,0.013725490196078383,qfc_random_01_random_label,ood_depth,128,128
11,0.5,0.8511730205278593,mlp_hidden,linear,0.5273704789833822,-0.35117302052785926,-0.027370478983382185,qfc_random_01_random_label,test,128,128
23,0.532258064516129,0.7436461388074291,mlp_hidden,rbf_gamma_x0.5,0.5425219941348973,-0.21138807429130013,-0.01026392961876832,qfc_random_01_random_label,test,128,128
37,0.5297224269221321,0.7920658314910342,mlp_hidden,rbf_gamma_x0.5,0.5862196020633751,-0.26234340456890204,-0.05649717514124297,qfc_random_01_random_label,test,128,128
41,0.5621489621489622,0.7975579975579976,mlp_logits,rbf_gamma_x0.5,0.5492063492063493,-0.23540903540903546,0.012942612942612897,qfc_random_01_random_label,test,128,128
53,0.570136852394917,0.8369990224828934,mlp_hidden,rbf_gamma_x1,0.5696480938416422,-0.2668621700879764,0.0004887585532747929,qfc_random_01_random_label,test,128,128
67,0.5607857672349889,0.7837904620706696,mlp_hidden,rbf_gamma_x2,0.5219915987150976,-0.22300469483568075,0.03879416851989126,qfc_random_01_random_label,test,128,128
79,0.5,0.705392156862745,mlp_hidden,linear,0.5901960784313726,-0.20539215686274503,-0.09019607843137256,qfc_random_01_random_label,test,128,128
83,0.5,0.7648351648351648,mlp_logits,rbf_gamma_x1,0.5025641025641026,-0.2648351648351648,-0.002564102564102555,qfc_random_01_random_label,test,128,128
97,0.5542124542124542,0.7590964590964591,mlp_hidden,rbf_gamma_x2,0.5844932844932845,-0.20488400488400482,-0.030280830280830284,qfc_random_01_random_label,test,128,128
109,0.6221892760069188,0.8401284902396837,mlp_hidden,linear,0.5,-0.21793921423276497,0.12218927600691876,qfc_random_01_random_label,test,128,128
