seed,topology,initial_checkpoint,initial_sha256,trained_checkpoint,trained_sha256,shuffled_checkpoint,shuffled_sha256,rng_state,rng_state_sha256,kernel_archive,kernel_archive_sha256,ordinary_best_epoch,shuffled_best_epoch,initial_checkpoint_shared_by_both_training_runs
67,qfc_all_to_all,results/exact_initialization/seed_67/qfc_all_to_all/model_initial.pt,3a35e5e98a81296e1d1aa00350351ae3da9513073a9967f149f6b01fb8ab1e6b,results/exact_initialization/seed_67/qfc_all_to_all/ordinary_labels/model_best.pt,86f3cf29e0bf2f7aa93c87817a37ee32a57e48cad4fe9e90298e1fdf6bece132,results/exact_initialization/seed_67/qfc_all_to_all/shuffled_labels/model_best.pt,8fcea2d3027d761421d05dc946e2cac6f1e31b3d14faa4b4802e95f6dd71e8ca,results/exact_initialization/seed_67/qfc_all_to_all/rng_state_after_initialization.pkl,d5433fc3badb55ce67cb05865d84808b1fb64d422ca98e2755cc9907f598f328,results/exact_initialization/seed_67/qfc_all_to_all/state_overlap_kernels.npz,68f55e659de77f1be30cf204ac7cd696a7d5a061246d59df87d99fccdd9aa13d,60,11,True
67,qfc_random_01,results/exact_initialization/seed_67/qfc_random_01/model_initial.pt,3a35e5e98a81296e1d1aa00350351ae3da9513073a9967f149f6b01fb8ab1e6b,results/exact_initialization/seed_67/qfc_random_01/ordinary_labels/model_best.pt,731606cb251e59d7f0576b587a252288eea34a94cc421eabef3ebd5634b1fec5,results/exact_initialization/seed_67/qfc_random_01/shuffled_labels/model_best.pt,ec5dc46dc97ab6ccb67f3efac285b0bfe1b2a47f5943cd2887f714526ce3080c,results/exact_initialization/seed_67/qfc_random_01/rng_state_after_initialization.pkl,d5433fc3badb55ce67cb05865d84808b1fb64d422ca98e2755cc9907f598f328,results/exact_initialization/seed_67/qfc_random_01/state_overlap_kernels.npz,4a72af457863720b3bf1606d889d8e1d09360069a5def79d52a7553a2c24700c,79,7,True
79,qfc_all_to_all,results/exact_initialization/seed_79/qfc_all_to_all/model_initial.pt,7f5f519c17fcfe837bd60ba798ea8916a3f2a03528f0d9daf3259c0fd6ae469d,results/exact_initialization/seed_79/qfc_all_to_all/ordinary_labels/model_best.pt,6b2e47e6d5cc5e23ad3a20b86aa1ee7aaf8e5f7ed80ec0928e1b8c55c2dc3761,results/exact_initialization/seed_79/qfc_all_to_all/shuffled_labels/model_best.pt,17058cb1e223985d3b3d36e5b4bb95f222e5682fa8d6b84767fedd9383797132,results/exact_initialization/seed_79/qfc_all_to_all/rng_state_after_initialization.pkl,7eb710a172518aada727b4b0802731cd02a831558389f6108c4a4a7927a416b2,results/exact_initialization/seed_79/qfc_all_to_all/state_overlap_kernels.npz,67d962b4f4c4c2e07168a596578d4ee60f44caabd87fb9b56b7b43906834cdc2,65,1,True
79,qfc_random_01,results/exact_initialization/seed_79/qfc_random_01/model_initial.pt,7f5f519c17fcfe837bd60ba798ea8916a3f2a03528f0d9daf3259c0fd6ae469d,results/exact_initialization/seed_79/qfc_random_01/ordinary_labels/model_best.pt,d6072c1099556a50f9d454789887924948bf3f71eb09e5b0d9e3a63c0df28b37,results/exact_initialization/seed_79/qfc_random_01/shuffled_labels/model_best.pt,6ab19d38a8dc72409e80cedc94da5bc1b317f36cbb5546f8e33660f00e9df847,results/exact_initialization/seed_79/qfc_random_01/rng_state_after_initialization.pkl,7eb710a172518aada727b4b0802731cd02a831558389f6108c4a4a7927a416b2,results/exact_initialization/seed_79/qfc_random_01/state_overlap_kernels.npz,2f7c3a5396c7a9717a08afd61b34e2f5b4fb8fdcaabc8b5ab36492403eed4bf0,74,1,True
83,qfc_all_to_all,results/exact_initialization/seed_83/qfc_all_to_all/model_initial.pt,e43fdd6e56d98a7fee6c9738e46f585b4c2966ad05ef5c779a2f198bfdb54867,results/exact_initialization/seed_83/qfc_all_to_all/ordinary_labels/model_best.pt,68db5f6e43b50ae50f838aa102341a8ad1984b2289adc1a1c9add36a42fa47e4,results/exact_initialization/seed_83/qfc_all_to_all/shuffled_labels/model_best.pt,ce63b2d7922501cc394b624470d72571c36fa758e9217ba197a3c6734a4ae8a3,results/exact_initialization/seed_83/qfc_all_to_all/rng_state_after_initialization.pkl,70bb234ec816109fccd5f8ade57c49a2bc8c8f77889ff5ba5f4f6e9616c94f44,results/exact_initialization/seed_83/qfc_all_to_all/state_overlap_kernels.npz,2145e74348ea631eb19adc32276f3409cbdcaccce56ff14e28bbe93f70953ff7,75,15,True
83,qfc_random_01,results/exact_initialization/seed_83/qfc_random_01/model_initial.pt,e43fdd6e56d98a7fee6c9738e46f585b4c2966ad05ef5c779a2f198bfdb54867,results/exact_initialization/seed_83/qfc_random_01/ordinary_labels/model_best.pt,4577b85c9d85b28e4fb614c6bb9b6ee77b4d75f9abcc115356e9b7e9987268d3,results/exact_initialization/seed_83/qfc_random_01/shuffled_labels/model_best.pt,ea4597b2f1cad01084619e0de5b0f052f6e64ff7049e4cca0b1ee4bca2d7d50d,results/exact_initialization/seed_83/qfc_random_01/rng_state_after_initialization.pkl,70bb234ec816109fccd5f8ade57c49a2bc8c8f77889ff5ba5f4f6e9616c94f44,results/exact_initialization/seed_83/qfc_random_01/state_overlap_kernels.npz,b23bd181687ac8fac1dee1d9cf602fa0b0c2a61695a282d046736fc9d286d159,34,7,True
97,qfc_all_to_all,results/exact_initialization/seed_97/qfc_all_to_all/model_initial.pt,397f5fe2b9560c1b361bcbf6420b6285a29a1c239e0c36d10fa464aa85235e2d,results/exact_initialization/seed_97/qfc_all_to_all/ordinary_labels/model_best.pt,fbf850e0720f138acfe5a655807f9a7262ed3b0ad4bfeca2f62a356f37a86948,results/exact_initialization/seed_97/qfc_all_to_all/shuffled_labels/model_best.pt,b30453fbe0326902ba1452827fbfbd330d41d6de7a8116a3f4f723a5a460ed76,results/exact_initialization/seed_97/qfc_all_to_all/rng_state_after_initialization.pkl,9310119819da0cd96aef6b23f2269d93026fd4246fc4336d4d730f4e00b8f6d6,results/exact_initialization/seed_97/qfc_all_to_all/state_overlap_kernels.npz,319db5a529bdc252a49f4ec3b7570aab6ceba4f41f7a16b21fb77de6929ed530,49,20,True
97,qfc_random_01,results/exact_initialization/seed_97/qfc_random_01/model_initial.pt,397f5fe2b9560c1b361bcbf6420b6285a29a1c239e0c36d10fa464aa85235e2d,results/exact_initialization/seed_97/qfc_random_01/ordinary_labels/model_best.pt,a63d1e2be26da08dafa5971e1e9776a80039f7e815d01fa492f10a75c19efbd1,results/exact_initialization/seed_97/qfc_random_01/shuffled_labels/model_best.pt,a983bdc3fd0f3d7925e2db4b4fe0495b1575973227dcf3c7de83229b8c5b2063,results/exact_initialization/seed_97/qfc_random_01/rng_state_after_initialization.pkl,9310119819da0cd96aef6b23f2269d93026fd4246fc4336d4d730f4e00b8f6d6,results/exact_initialization/seed_97/qfc_random_01/state_overlap_kernels.npz,b49136a294cca3be2f1a77ce6c9673f75111bc97e67504626d4334bbf4ce4128,42,2,True
109,qfc_all_to_all,results/exact_initialization/seed_109/qfc_all_to_all/model_initial.pt,7d130142f5fd23b5c2faa9dc2ae84513aba6996b2a7e0687ba4143cd33a3a1ac,results/exact_initialization/seed_109/qfc_all_to_all/ordinary_labels/model_best.pt,a9a6e87c608619e2861c60d9370b16533b843538483cc49602fc031283b3a399,results/exact_initialization/seed_109/qfc_all_to_all/shuffled_labels/model_best.pt,c0d25d973be566a972b8f9ac0d4038055c35cc4fdfc218d66d990bf1f7b1d468,results/exact_initialization/seed_109/qfc_all_to_all/rng_state_after_initialization.pkl,af4c440440e70fb7abaced0bbeb71ed2598ddfecbffe1f0c3f527f217d46a09e,results/exact_initialization/seed_109/qfc_all_to_all/state_overlap_kernels.npz,4debf9878c3d2994bac0507fe529cf7f851674300b9e4e308b1ec36307fd379f,67,11,True
109,qfc_random_01,results/exact_initialization/seed_109/qfc_random_01/model_initial.pt,7d130142f5fd23b5c2faa9dc2ae84513aba6996b2a7e0687ba4143cd33a3a1ac,results/exact_initialization/seed_109/qfc_random_01/ordinary_labels/model_best.pt,1eba06913592c345de546a763ce808e3febdd1b2d726ddadbdc2ab0f3fce6e33,results/exact_initialization/seed_109/qfc_random_01/shuffled_labels/model_best.pt,50fb3d1d4fdc15c88ea8ac175471dae04f42c2b39bbba5f22a463cf7dff99b45,results/exact_initialization/seed_109/qfc_random_01/rng_state_after_initialization.pkl,af4c440440e70fb7abaced0bbeb71ed2598ddfecbffe1f0c3f527f217d46a09e,results/exact_initialization/seed_109/qfc_random_01/state_overlap_kernels.npz,9b9ed495c46a9d2c4d5e46ca1ca22cfdd959c0df1ce7e70141ff9e8ce1f8d05f,37,8,True
